Product_description,Product_url,Image_url,Price,Delivery_time,Product_Rating,previous_bought,Discount % ,delivery_type,fastest_delivery,
"Gizga Essentials Reversible Laptop Sleeve 15.6 Inch, Dual Color Neoprene Laptop Cover, Zipperless, Waterproof, Slim Fit Laptop Case for HP Dell Lenovo Asus Acer, MacBook, Mouse Pad Use (Red/Black)",https://amazon.in/Essentials-Reversible-Neoprene-Zipperless-Waterproof/dp/B00C3GBCIS/ref=sr_1_113?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.uM8McENJpVSPOM66JfSmnbbb-aZ6h3XAAmAYBVjb4j3jBFCDZAz27MvhBZvRZ0VepzmHHrvIWQwyqS5aSWWItf0NWegYuq2HicUbbiFKIWH0gi8tBM5PVezs-1lohSSSIVYpqn-YVQbVVXJdm90c-JoCtRFPTVkt_GmhP-Wcv5Kahu8-SThPyXaGMpEO3XMUP0mor4JLsb_vwDO3XvVYliMWZatZ3pAEBpJLZlKosFU.EAqNeIK-yQ1pQ9dBcNEXFukfIOVbxgv6XOkg6Ut_8A4&dib_tag=se&keywords=laptop&qid=1751752476&sprefix=laptops%2Caps%2C154&sr=8-113,https://m.media-amazon.com/images/I/71npCDMBZ4L._AC_UY218_.jpg,199,"FREE delivery Tue, 8 Jul on first order",4.2 out of 5 stars,1K+ bought in past month,60,FREE Delivery,"Or fastest delivery Tomorrow, 7 Jul",
DailyObjects Medium Stria Portable Laptop Sleeve | Durable Polyester | Compatible with Laptop/MacBook Air/Pro Upto 14 in | Water Resistant Fabric |Padded Compartment with Zip Closure - Carbon Black,https://amazon.in/DailyObjects-Medium-Stria-Laptop-Sleeve/dp/B0DFMLKXZP/ref=sr_1_114?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.uM8McENJpVSPOM66JfSmnbbb-aZ6h3XAAmAYBVjb4j3jBFCDZAz27MvhBZvRZ0VepzmHHrvIWQwyqS5aSWWItf0NWegYuq2HicUbbiFKIWH0gi8tBM5PVezs-1lohSSSIVYpqn-YVQbVVXJdm90c-JoCtRFPTVkt_GmhP-Wcv5Kahu8-SThPyXaGMpEO3XMUP0mor4JLsb_vwDO3XvVYliMWZatZ3pAEBpJLZlKosFU.EAqNeIK-yQ1pQ9dBcNEXFukfIOVbxgv6XOkg6Ut_8A4&dib_tag=se&keywords=laptop&qid=1751752476&sprefix=laptops%2Caps%2C154&sr=8-114,https://m.media-amazon.com/images/I/61CVKqM0hcL._AC_UY218_.jpg,"1,499","FREE delivery Thu, 10 Jul",4.5 out of 5 stars,300+ bought in past month,42,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"Dell MS116 Wired Optical Mouse, 1000DPI, LED Tracking, Scrolling Wheel, Plug and Play",https://amazon.in/Dell-MS116-1000DPI-Wired-Optical/dp/B01HJI0FS2/ref=sr_1_115?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.uM8McENJpVSPOM66JfSmnbbb-aZ6h3XAAmAYBVjb4j3jBFCDZAz27MvhBZvRZ0VepzmHHrvIWQwyqS5aSWWItf0NWegYuq2HicUbbiFKIWH0gi8tBM5PVezs-1lohSSSIVYpqn-YVQbVVXJdm90c-JoCtRFPTVkt_GmhP-Wcv5Kahu8-SThPyXaGMpEO3XMUP0mor4JLsb_vwDO3XvVYliMWZatZ3pAEBpJLZlKosFU.EAqNeIK-yQ1pQ9dBcNEXFukfIOVbxgv6XOkg6Ut_8A4&dib_tag=se&keywords=laptop&qid=1751752476&sprefix=laptops%2Caps%2C154&sr=8-115,https://m.media-amazon.com/images/I/51a1LryFTZS._AC_UY218_.jpg,309,"FREE delivery Tue, 8 Jul on first order",4.4 out of 5 stars,5K+ bought in past month,52,FREE Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"Lapster Laptop Camera Cover Webcam Cover Slider, Ultra Thin Slide Blocker for All Laptop PC Tablet (Pack of 6pcs)",https://amazon.in/Lapster-Laptop-Camera-Webcam-Blocker/dp/B09SQ57YKY/ref=sr_1_116?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.uM8McENJpVSPOM66JfSmnbbb-aZ6h3XAAmAYBVjb4j3jBFCDZAz27MvhBZvRZ0VepzmHHrvIWQwyqS5aSWWItf0NWegYuq2HicUbbiFKIWH0gi8tBM5PVezs-1lohSSSIVYpqn-YVQbVVXJdm90c-JoCtRFPTVkt_GmhP-Wcv5Kahu8-SThPyXaGMpEO3XMUP0mor4JLsb_vwDO3XvVYliMWZatZ3pAEBpJLZlKosFU.EAqNeIK-yQ1pQ9dBcNEXFukfIOVbxgv6XOkg6Ut_8A4&dib_tag=se&keywords=laptop&qid=1751752476&sprefix=laptops%2Caps%2C154&sr=8-116,https://m.media-amazon.com/images/I/51BNUcWdC3L._AC_UY218_.jpg,99,"FREE delivery Tue, 8 Jul on first order",4.2 out of 5 stars,2K+ bought in past month,90,FREE Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"Dell 15 Thin & Light Laptop, 13th Gen Intel Core i3-1305U Processor, 8GB DDR4, 512GB SSD, 15.6"" (39.62cm) FHD 120Hz 250 nits, Intel UHD Graphics, Windows 11 + MSO'21, 15 Months McAfee, Black, 1.66kg",https://amazon.in/sspa/click?ie=UTF8&spc=MTo0MjYxNDAwMzM1MDQ1ODI5OjE3NTE3NTI0NzY6c3BfYnRmOjMwMDM3MzIyNzg2ODEzMjo6MDo6&url=%2FDell-i3-1305U-Processor-39-62cm-GraphicsWin%2Fdp%2FB0CNZ8MDLV%2Fref%3Dsr_1_117_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.uM8McENJpVSPOM66JfSmnbbb-aZ6h3XAAmAYBVjb4j3jBFCDZAz27MvhBZvRZ0VepzmHHrvIWQwyqS5aSWWItf0NWegYuq2HicUbbiFKIWH0gi8tBM5PVezs-1lohSSSIVYpqn-YVQbVVXJdm90c-JoCtRFPTVkt_GmhP-Wcv5Kahu8-SThPyXaGMpEO3XMUP0mor4JLsb_vwDO3XvVYliMWZatZ3pAEBpJLZlKosFU.EAqNeIK-yQ1pQ9dBcNEXFukfIOVbxgv6XOkg6Ut_8A4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752476%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-117-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/51TthRPD2YL._AC_UY218_.jpg,"35,990","FREE delivery Tue, 8 Jul",3.8 out of 5 stars,N/A,26,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
N/A,https://amazon.in/sspa/click?ie=UTF8&spc=MTozMzQ0NDAxNzkyMzIzODY5OjE3NTE3NTI0NTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDUyNTIwMjYzMTEzMjo6Mzo6&url=%2FLenovo-Ideapad-Windows-Display-82R4011CIN%2Fdp%2FB0DT3SBQM7%2Fref%3Dsxin_23_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%253Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%26crid%3D12IZR3PRZWTP2%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0DT3SBQM7%26pd_rd_r%3D932908c5-2ce4-4c82-9d78-b30f935af94c%26pd_rd_w%3Dqrz6q%26pd_rd_wg%3DvCJJY%26pf_rd_p%3D739e670d-dfb3-4be0-9815-d8c5c0372e07%26pf_rd_r%3DXWP8W628RYCB1K3XGWEG%26qid%3D1751752454%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D1-4-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/814By4kEe5L._AC_UL320_.jpg,"37,990",N/A,4.1 out of 5 stars,100+ bought in past month,45,Prime Delivery,N/A,
"Lenovo LOQ AMD Ryzen 5 7235HS | NVIDIA RTX 3050A 4GB (12GB RAM/512GB SSD/144Hz Refresh Rate/15.6"" (39.6cm)/Windows 11/Office Home 2024/3 Mon. Game Pass/Grey/2.4Kg), 83JC00HNIN AI Gaming Laptop",https://amazon.in/sspa/click?ie=UTF8&spc=MTo0MjYxNDAwMzM1MDQ1ODI5OjE3NTE3NTI0NzY6c3BfYnRmOjMwMDYwOTUxMzAxOTUzMjo6MDo6&url=%2FLenovo-7235HS-Refresh-Windows-83JC00HNIN%2Fdp%2FB0F832WDMW%2Fref%3Dsr_1_118_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.uM8McENJpVSPOM66JfSmnbbb-aZ6h3XAAmAYBVjb4j3jBFCDZAz27MvhBZvRZ0VepzmHHrvIWQwyqS5aSWWItf0NWegYuq2HicUbbiFKIWH0gi8tBM5PVezs-1lohSSSIVYpqn-YVQbVVXJdm90c-JoCtRFPTVkt_GmhP-Wcv5Kahu8-SThPyXaGMpEO3XMUP0mor4JLsb_vwDO3XvVYliMWZatZ3pAEBpJLZlKosFU.EAqNeIK-yQ1pQ9dBcNEXFukfIOVbxgv6XOkg6Ut_8A4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752476%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-118-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/61aXoUYHNcL._AC_UY218_.jpg,"62,990","FREE delivery Tue, 8 Jul",4.6 out of 5 stars,N/A,25,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"Acer Aspire Lite, AMD Ryzen 3 7330U Processor, 16 GB RAM, 512GB SSD, Full HD, 15.6""/39.62cm, Windows 11 Home, Steel Gray, 1.59KG, AL15-41, Metal Body, Premium Thin and Light Laptop",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MzU4MzU3NzAwMzYzODE2OjE3NTE3NTI0Nzk6c3BfYXRmX25leHQ6MzAwMTY0NDk1MjkwOTMyOjowOjo&url=%2FAcer-Premium-Windows-AL15-41-Display%2Fdp%2FB0CWTYGPH8%2Fref%3Dsr_1_113_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752478%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/513p8BwV-RL._AC_UY218_.jpg,"28,490","FREE delivery Tue, 8 Jul",3.9 out of 5 stars,100+ bought in past month,39,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i5-13420H 15.3""(38.8cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Win 11/Office Home 2024/Backlit/1Yr ADP Free/Top Metal Cover & IR Camera/Grey/1.6Kg), 83K100CGIN",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MzU4MzU3NzAwMzYzODE2OjE3NTE3NTI0Nzk6c3BfYXRmX25leHQ6MzAwNTY5Njk0MzAzNTMyOjowOjo&url=%2FLenovo-IdeaPad-i5-13420H-Backlit-83K100CGIN%2Fdp%2FB0F637DPFW%2Fref%3Dsr_1_114_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752478%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-114-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/71D9HSayVSL._AC_UY218_.jpg,"60,990","FREE delivery Tue, 8 Jul",4.0 out of 5 stars,50+ bought in past month,25,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"Samsung Galaxy Book3 Pro Intel 13th Gen i7 EvoTM 35.56cm(14"") Dynamic Amoled 2X, 3K Display, 120Hz, Ultra Thin & Light Laptop(16 GB/512 GB SSD/Windows 11/MS Office/Graphite/1.17Kg), NP940XFG-KC4IN",https://amazon.in/Samsung-35-56cm-Dynamic-Graphite-NP940XFG-KC4IN/dp/B0BSH5GLB3/ref=sr_1_115?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc&dib_tag=se&keywords=laptop&qid=1751752478&sprefix=laptops%2Caps%2C154&sr=8-115,https://m.media-amazon.com/images/I/71B0Gu0Iz1L._AC_UY218_.jpg,"81,799.99","FREE delivery Wed, 9 Jul",3.9 out of 5 stars,N/A,53,FREE Prime Delivery,N/A,
"Acer Aspire 3 AMD Ryzen 3-7330U Processor Laptop with 39.62 cm (15.6"") Full HD LED-Backlit IPS Display (16 GB RAM/512 GB SSD/WiFi 6/AMD Radeon Graphics/Win11 Home/55Wh) A325-42 Pure Silver 1.79KG",https://amazon.in/Acer-Processor-LED-Backlit-Graphics-A325-42/dp/B0DVC9NXF2/ref=sr_1_116?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc&dib_tag=se&keywords=laptop&qid=1751752478&sprefix=laptops%2Caps%2C154&sr=8-116,https://m.media-amazon.com/images/I/61G2lmqr+zL._AC_UY218_.jpg,"31,990","FREE delivery Tue, 8 Jul",N/A,N/A,35,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"Logitech C270 HD Webcam, HD 720p/30fps, Widescreen HD Video Calling, HD Light Correction, Noise-Reducing Mic, for Skype, FaceTime, Hangouts, WebEx, PC/Mac/Laptop/MacBook/Tablet - Black",https://amazon.in/Logitech-Widescreen-Correction-Noise-Reducing-FaceTime/dp/B008QS9J6Y/ref=sr_1_117?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc&dib_tag=se&keywords=laptop&qid=1751752478&sprefix=laptops%2Caps%2C154&sr=8-117,https://m.media-amazon.com/images/I/51BmSwjFu5L._AC_UY218_.jpg,"1,995","FREE delivery Tue, 8 Jul",4.2 out of 5 stars,1K+ bought in past month,26,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"Brand Conquer 7 in 1 Multi-Function Laptop Cleaning Brush/Keyboard Cleaning kit/Gadget Cleaning kit Gap Duster Key-Cap Puller for Laptop,Monitor,Keyboard and Earphones with Spray Bottle (Blue)",https://amazon.in/Brand-Conquer-Multi-Function-Cleaning-Earphones/dp/B0CFFVW1YD/ref=sr_1_118?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc&dib_tag=se&keywords=laptop&qid=1751752478&sprefix=laptops%2Caps%2C154&sr=8-118,https://m.media-amazon.com/images/I/61mFG6NaaNL._AC_UY218_.jpg,229,"FREE delivery Tue, 8 Jul on first order",4.4 out of 5 stars,500+ bought in past month,77,FREE Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"ZEBRONICS Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (White+Grey)",https://amazon.in/Zebronics-Zeb-Jaguar-Wireless-Precision-Ambidextrous/dp/B098JX4P46/ref=sr_1_119?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc&dib_tag=se&keywords=laptop&qid=1751752478&sprefix=laptops%2Caps%2C154&sr=8-119,https://m.media-amazon.com/images/I/51cKJlOhorL._AC_UY218_.jpg,299,"FREE delivery Tue, 8 Jul on first order",3.9 out of 5 stars,2K+ bought in past month,75,FREE Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"DELL 14 (2025) Intel Core i3 12th Gen 1215U - (8 GB/512 GB SSD/Intel UHD Graphics/Windows 11 Pro) Thin and Light Business Laptop/14.0"" HD Display/Grey/1.5 kg/MS Office 2021",https://amazon.in/DELL-Intel-Core-12th-1215U/dp/B00S63RBNC/ref=sr_1_120?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc&dib_tag=se&keywords=laptop&qid=1751752478&sprefix=laptops%2Caps%2C154&sr=8-120,https://m.media-amazon.com/images/I/61b1Lw9qnDL._AC_UY218_.jpg,"29,930","FREE delivery Wed, 9 Jul",3.5 out of 5 stars,50+ bought in past month,63,FREE Prime Delivery,N/A,
"Sounce Protective Laptop Bag Sleeve fits Upto 15.6"" Wrinkle Free, Padded, Water Resistant Light Neoprene case Cover Pouch, Compatible for All Notebooks Such as Mac Book Pro (15.6 inch)",https://amazon.in/Sounce-Protective-Resistant-Compatible-Notebooks/dp/B0DHSDQGCP/ref=sr_1_121?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc&dib_tag=se&keywords=laptop&qid=1751752478&sprefix=laptops%2Caps%2C154&sr=8-121,https://m.media-amazon.com/images/I/71nCBV8peQL._AC_UY218_.jpg,299,"FREE delivery Tue, 8 Jul on first order",3.8 out of 5 stars,400+ bought in past month,70,FREE Delivery,"Or fastest delivery Tomorrow, 7 Jul",
N/A,https://amazon.in/sspa/click?ie=UTF8&spc=MTozMzQ0NDAxNzkyMzIzODY5OjE3NTE3NTI0NTQ6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDU4NzM3NzQwOTkzMjo6NDo6&url=%2FASUS-14650HX-5070-8GB-Windows-FX688JPR-QT043WS%2Fdp%2FB0CQ2VRMS5%2Fref%3Dsxin_23_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%253Aamzn1.sym.739e670d-dfb3-4be0-9815-d8c5c0372e07%26crid%3D12IZR3PRZWTP2%26cv_ct_cx%3Dlaptop%26keywords%3Dlaptop%26pd_rd_i%3DB0CQ2VRMS5%26pd_rd_r%3D932908c5-2ce4-4c82-9d78-b30f935af94c%26pd_rd_w%3Dqrz6q%26pd_rd_wg%3DvCJJY%26pf_rd_p%3D739e670d-dfb3-4be0-9815-d8c5c0372e07%26pf_rd_r%3DXWP8W628RYCB1K3XGWEG%26qid%3D1751752454%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D1-5-66673dcf-083f-43ba-b782-d4a436cc5cfb-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/81atbNHvlaL._AC_UL320_.jpg," 1,79,990",N/A,4.0 out of 5 stars,N/A,17,Prime Delivery,N/A,
"Lenovo Tab Yoga 11 (11 inches/ 27.94 cm, 4GB, 128GB,Wi-Fi+ LTE), Storm Grey",https://amazon.in/Lenovo-Display-Speakers-Certified-Colour/dp/B09DYD3D1C/ref=sr_1_122?crid=12IZR3PRZWTP2&dib=eyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc&dib_tag=se&keywords=laptop&qid=1751752478&sprefix=laptops%2Caps%2C154&sr=8-122,https://m.media-amazon.com/images/I/615nN24VhkL._AC_UY218_.jpg,"15,490","FREE delivery Thu, 10 Jul",4.3 out of 5 stars,N/A,61,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
"MSI Modern 15, AMD 7th Gen. Ryzen 5-7530U, 40CM FHD 60Hz Laptop(8GB/512GB NVMe SSD/Windows 11 Home/MSO 2021/AMD Radeon Graphics/Classic Black/1.7Kg), B7M-428IN",https://amazon.in/sspa/click?ie=UTF8&spc=MTo1MzU4MzU3NzAwMzYzODE2OjE3NTE3NTI0Nzk6c3BfbXRmOjMwMDU5NjExODc5MTgzMjo6MDo6&url=%2FMSI-5-7530U-Windows-Graphics-B7M-428IN%2Fdp%2FB0DJP83BVF%2Fref%3Dsr_1_123_sspa%3Fcrid%3D12IZR3PRZWTP2%26dib%3DeyJ2IjoiMSJ9.mU0oOUHUGfQFgNJ7p4hRgLRyazDEUz0RskmprjbK7qKWXnWqQ-kj-i0Me3pJbVq4baX4o7NOjQR1KRYMc2Y_j210gQBBGO-xbcP3mmS88gH7aJ7Dex8-NaXbJgVMQXTCO7rhHvgHsxHl8BZOXIBcGjZYXwIv5_4jJPNhG4txtizHCLu1E9kYLUVGCn4Knt8Wu9xd73fufU-p4yjO4v08z-Pbm5K3TeomqXX7mItV_Tk.j82YUBYKnm-NlK7RIm8U2tMpj2ktzClIiPLumnhRghc%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1751752478%26sprefix%3Dlaptops%252Caps%252C154%26sr%3D8-123-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&cr=DUB,https://m.media-amazon.com/images/I/718AiQQtJBL._AC_UY218_.jpg,"38,990","FREE delivery Tue, 8 Jul",N/A,N/A,41,FREE Prime Delivery,"Or fastest delivery Tomorrow, 7 Jul",
